Date,AAPL,AAPL,AAPL,AAPL,AAPL
2020-06-29T00:00:00.000,85.58540582946648,87.74654657742667,85.10811395697272,87.65205383300781,130646000
2020-06-30T00:00:00.000,87.24017383067029,88.66963165860406,87.22079468512266,88.38373565673828,140223200
2020-07-01T00:00:00.000,88.46128081179627,89.00398569728229,88.16812405423994,88.2165756225586,110737200
2020-07-02T00:00:00.000,89.122707936332,89.75748041356287,88.10271110979996,88.2165756225586,114041600
2020-07-06T00:00:00.000,89.6435984064739,91.04397648582848,89.61210082402599,90.57637786865234,118655600
2020-07-07T00:00:00.000,90.95434344364946,91.73206023970783,90.18389475245895,90.29534149169922,112424400
2020-07-08T00:00:00.000,91.27171499364255,92.42981301031341,91.18449035546323,92.3983154296875,117092000
2020-07-09T00:00:00.000,93.28990778547893,93.34320967936996,91.74901058829923,92.79566192626953,125642800
2020-07-10T00:00:00.000,92.39106579987347,93.01615241811884,91.78052278573126,92.95800018310547,90257200
2020-07-13T00:00:00.000,94.26146013937891,96.86839541410872,92.31595195399946,92.52915954589844,191649200
2020-07-14T00:00:00.000,91.91133403395911,94.25175963929699,90.97856198164641,94.06036376953125,170989200
2020-07-15T00:00:00.000,95.93317328027695,96.18272134953932,93.51037361994408,94.70723724365234,153198000
2020-07-16T00:00:00.000,93.58063579856042,94.39711809164639,92.94343831225127,93.5418701171875,110577600
2020-07-17T00:00:00.000,93.99251265271707,94.14756798104436,92.88044113908421,93.35289001464844,92186800
2020-07-20T00:00:00.000,93.44012565034129,95.45831468469305,93.09608481622666,95.3202133178711,90318000
2020-07-21T00:00:00.000,96.11003683309417,96.18514302833793,93.75507535287011,94.00462341308594,103433200
2020-07-22T00:00:00.000,93.70661600246667,94.94951336084341,93.61939876725305,94.26870727539062,89001600
2020-07-23T00:00:00.000,94.00221845583387,94.07974983333283,89.168736705882,89.97795104980469,197004400
2020-07-24T00:00:00.000,88.17780532258647,90.09908386887433,86.39219558540321,89.75504302978516,185438800
2020-07-27T00:00:00.000,90.81624022237884,91.97433840198715,90.59334674840196,91.88227081298828,121214000
2020-07-28T00:00:00.000,91.45342276195278,91.63028980605597,90.3680058085899,90.37285614013672,103625600
2020-07-29T00:00:00.000,90.85500544148256,92.28930638065711,90.81866491806582,92.10517120361328,90329200
2020-07-30T00:00:00.000,91.27899267505967,93.32383652649061,90.87196403764284,93.21965789794922,158130000
2020-07-31T00:00:00.000,99.7079111699714,103.12890351490226,97.7115189842411,102.97869110107422,374336800
2020-08-03T00:00:00.000,104.85877268635082,108.19012242087766,104.56077304212948,105.57350158691406,308151200
2020-08-04T00:00:00.000,105.76247640960193,107.36879381499179,105.0404794276689,106.27853393554688,173071600
